University,Year,Partner Country Code,Partner University Code
TOHU,2018,UZB,U7
TOHU,2018,UZB,U8
TOHU,2019,BLR,B8
TOHU,2019,BLR,B9
TOHU,2019,UKR,UK1
TOHU,2019,UKR,UK2
TOHU,2019,ARM,AR1
TOHU,2019,ROU,R7
TOHU,2019,ROU,R8
TOHU,2019,IRN,IR2
TOHU,2019,UZB,U7
TOHU,2019,UZB,U8
TOHU,2020,BLR,B8
TOHU,2020,BLR,B9
TOHU,2020,UKR,UK1
TOHU,2020,UKR,UK2
TOHU,2020,ARM,AR1
TOHU,2020,ROU,R7
TOHU,2020,ROU,R8
TOHU,2020,IRN,IR2
TOHU,2020,UZB,U7
TOHU,2020,UZB,U8
TOHU,2020,HUN,H2
TOHU,2021,BLR,B8
TOHU,2021,BLR,B9
TOHU,2021,UKR,UK1
TOHU,2021,UKR,UK2
TOHU,2021,ARM,AR1
TOHU,2021,ROU,R7
TOHU,2021,ROU,R8
TOHU,2021,IRN,IR2
TOHU,2021,UZB,U7
TOHU,2021,UZB,U8
TOHU,2021,HUN,H2
TOHU,2022,BLR,B8
TOHU,2022,BLR,B9
TOHU,2022,UKR,UK1
TOHU,2022,UKR,UK2
TOHU,2022,ARM,AR1
TOHU,2022,ROU,R7
TOHU,2022,ROU,R8
TOHU,2022,IRN,IR2
TOHU,2022,UZB,U7
TOHU,2022,UZB,U8
TOHU,2022,HUN,H2
TOHU,2023,BLR,B8
TOHU,2023,BLR,B9
TOHU,2023,UKR,UK1
TOHU,2023,UKR,UK2
TOHU,2023,ARM,AR1
TOHU,2023,ROU,R7
TOHU,2023,ROU,R8
TOHU,2023,IRN,IR2
TOHU,2023,IRN,IR4
TOHU,2023,UZB,U7
TOHU,2023,UZB,U8
TOHU,2023,HUN,H2
TOHU,2023,RUS,RU1
TOHU,2024,BLR,B8
TOHU,2024,BLR,B9
TOHU,2024,UKR,UK1
TOHU,2024,UKR,UK2
TOHU,2024,ARM,AR1
TOHU,2024,ROU,R7
TOHU,2024,ROU,R8
TOHU,2024,IRN,IR2
TOHU,2024,IRN,IR4
TOHU,2024,UZB,U7
TOHU,2024,UZB,U8
TOHU,2024,HUN,H2
TOHU,2024,RUS,RU1
TOHU,2025,,
TMDDI,2007,,
TMDDI,2008,,
TMDDI,2009,,
TMDDI,2010,,
TMDDI,2011,,
TMDDI,2012,,
TMDDI,2013,JPN,J2
TMDDI,2014,JPN,J2
TMDDI,2015,JPN,J2
TMDDI,2016,JPN,J2
TMDDI,2016,DEU,D3
TMDDI,2017,JPN,J2
TMDDI,2017,DEU,D3
TMDDI,2018,JPN,J2
TMDDI,2018,DEU,D3
TMDDI,2018,UZB,U4
TMDDI,2018,IRN,IR2
TMDDI,2019,KOR,K5
TMDDI,2019,DEU,D3
TMDDI,2019,UZB,U4
TMDDI,2019,IRN,IR2
TMDDI,2020,KOR,K5
TMDDI,2020,DEU,D3
TMDDI,2020,UZB,U4
TMDDI,2020,IRN,IR2
TMDDI,2021,KOR,K5
