Ýyl,Ugur,Kwota,Hünär
2029,5. Jemgyýet baradaky ylymlar,844.5579864084798,Hünärmen
2029,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2051.760146370219,Bakalawr
2029,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1653.657431402863,Hünärmen
2029,7. Ynsanperwer ylymlar,280.4448275478539,Bakalawr
2029,7. Ynsanperwer ylymlar,2087.218687784315,Hünärmen
2029,8. Sungat we medeniýet,459.34928650079524,Bakalawr
2029,8. Sungat we medeniýet,477.0785572078435,Hünärmen
2030,1. Matematika we tebigy ylymlar,1261.9489372587839,Bakalawr
2030,1. Matematika we tebigy ylymlar,3114.6672079547097,Hünärmen
2030,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2149.743963340711,Bakalawr
2030,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3477.3339376480662,Hünärmen
2030,3. Saglygy goraýyş we lukmançylyk ylymlary,1821.5387780978547,Hünärmen
2030,4. Oba hojalygy we oba hojalyk ylymlary,301.94877042342813,Bakalawr
2030,4. Oba hojalygy we oba hojalyk ylymlary,653.1283186332848,Hünärmen
2030,5. Jemgyýet baradaky ylymlar,4335.590497058137,Bakalawr
2030,5. Jemgyýet baradaky ylymlar,859.8975853362845,Hünärmen
2030,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2089.026004070783,Bakalawr
2030,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1683.6926002958548,Hünärmen
2030,7. Ynsanperwer ylymlar,285.53851116128527,Bakalawr
2030,7. Ynsanperwer ylymlar,2125.128574447497,Hünärmen
2030,8. Sungat we medeniýet,467.6923889710707,Bakalawr
2030,8. Sungat we medeniýet,485.7436741594279,Hünärmen
2031,1. Matematika we tebigy ylymlar,1315.0550890344682,Bakalawr
2031,1. Matematika we tebigy ylymlar,3245.74064887831,Hünärmen
2031,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2240.2108798896666,Bakalawr
2031,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3623.6693545696207,Hünärmen
2031,3. Saglygy goraýyş we lukmançylyk ylymlary,1898.1939516622365,Hünärmen
