,University,Talyp sany,Year,Hünärler
0.0,TDU,702.0,2011-2012,Hünärmen
0.0,HNGU,0.0,2011-2012,Hünärmen
0.0,HYYÖU,0.0,2011-2012,Hünärmen
0.0,TITU,0.0,2011-2012,Hünärmen
0.0,TOHU,490.0,2011-2012,Hünärmen
0.0,TMDDI,1172.0,2011-2012,Hünärmen
0.0,TDMal,165.0,2011-2012,Hünärmen
0.0,TDBGI,725.0,2011-2012,Hünärmen
0.0,HGI,264.0,2011-2012,Hünärmen
0.0,TDYDI,305.0,2011-2012,Hünärmen
0.0,TTII,1761.0,2011-2012,Hünärmen
0.0,TDLU,333.0,2011-2012,Hünärmen
0.0,TDBSI,235.0,2011-2012,Hünärmen
0.0,TDMI,120.0,2011-2012,Hünärmen
0.0,TMK,453.0,2011-2012,Hünärmen
0.0,TDÇA,313.0,2011-2012,Hünärmen
0.0,TITUKI,0.0,2011-2012,Hünärmen
0.0,TOHI,380.0,2011-2012,Hünärmen
0.0,TDEI,1014.0,2011-2012,Hünärmen
0.0,SSTDMI,903.0,2011-2012,Hünärmen
0.0,HAA,0.0,2011-2012,Hünärmen
0.0,TDU,0.0,2011-2012,Bakalawr
0.0,HNGU,0.0,2011-2012,Bakalawr
0.0,HYYÖU,0.0,2011-2012,Bakalawr
0.0,TITU,0.0,2011-2012,Bakalawr
0.0,TOHU,0.0,2011-2012,Bakalawr
0.0,TMDDI,0.0,2011-2012,Bakalawr
0.0,TDMal,0.0,2011-2012,Bakalawr
0.0,TDBGI,0.0,2011-2012,Bakalawr
0.0,HGI,0.0,2011-2012,Bakalawr
0.0,TDYDI,0.0,2011-2012,Bakalawr
0.0,TTII,0.0,2011-2012,Bakalawr
0.0,TDLU,0.0,2011-2012,Bakalawr
0.0,TDBSI,0.0,2011-2012,Bakalawr
0.0,TDMI,0.0,2011-2012,Bakalawr
0.0,TMK,0.0,2011-2012,Bakalawr
0.0,TDÇA,0.0,2011-2012,Bakalawr
0.0,TITUKI,0.0,2011-2012,Bakalawr
0.0,TOHI,0.0,2011-2012,Bakalawr
