University Index,University,Count,Year,Type
5,TDLU,322.0,2018,Kompýuter tehnikalar
6,TDBSI,327.0,2018,Kompýuter tehnikalar
7,HGI,586.0,2018,Kompýuter tehnikalar
8,TDMaI,204.0,2018,Kompýuter tehnikalar
9,TDYDI,654.0,2018,Kompýuter tehnikalar
10,TTweII,389.0,2018,Kompýuter tehnikalar
11,TMDDI,183.0,2018,Kompýuter tehnikalar
12,TITU,213.0,2018,Kompýuter tehnikalar
13,TITUKI,832.0,2018,Kompýuter tehnikalar
14,HAA,0.0,2018,Kompýuter tehnikalar
15,TOHU,311.0,2018,Kompýuter tehnikalar
16,TDMI,391.0,2018,Kompýuter tehnikalar
17,TMK,107.0,2018,Kompýuter tehnikalar
18,TDÇA,88.0,2018,Kompýuter tehnikalar
19,SSTDMI,238.0,2018,Kompýuter tehnikalar
20,TDEI,340.0,2018,Kompýuter tehnikalar
21,TOHI,258.0,2018,Kompýuter tehnikalar
1,TDU,19.0,2018,Interaktiw tagtalar
2,HYÖU,11.0,2018,Interaktiw tagtalar
3,HNGU,4.0,2018,Interaktiw tagtalar
4,TDBGI,35.0,2018,Interaktiw tagtalar
5,TDLU,19.0,2018,Interaktiw tagtalar
6,TDBSI,19.0,2018,Interaktiw tagtalar
7,HGI,19.0,2018,Interaktiw tagtalar
8,TDMaI,11.0,2018,Interaktiw tagtalar
9,TDYDI,44.0,2018,Interaktiw tagtalar
10,TTweII,20.0,2018,Interaktiw tagtalar
11,TMDDI,19.0,2018,Interaktiw tagtalar
12,TITU,67.0,2018,Interaktiw tagtalar
13,TITUKI,74.0,2018,Interaktiw tagtalar
14,HAA,0.0,2018,Interaktiw tagtalar
15,TOHU,20.0,2018,Interaktiw tagtalar
16,TDMI,7.0,2018,Interaktiw tagtalar
17,TMK,2.0,2018,Interaktiw tagtalar
18,TDÇA,2.0,2018,Interaktiw tagtalar
19,SSTDMI,8.0,2018,Interaktiw tagtalar
20,TDEI,15.0,2018,Interaktiw tagtalar
21,TOHI,12.0,2018,Interaktiw tagtalar
1,TDU,37.0,2018,Proýektorlar
2,HYÖU,61.0,2018,Proýektorlar
3,HNGU,9.0,2018,Proýektorlar
4,TDBGI,40.0,2018,Proýektorlar
5,TDLU,23.0,2018,Proýektorlar
6,TDBSI,8.0,2018,Proýektorlar
7,HGI,19.0,2018,Proýektorlar
8,TDMaI,21.0,2018,Proýektorlar
9,TDYDI,44.0,2018,Proýektorlar
10,TTweII,22.0,2018,Proýektorlar
11,TMDDI,19.0,2018,Proýektorlar
12,TITU,66.0,2018,Proýektorlar
13,TITUKI,74.0,2018,Proýektorlar
14,HAA,0.0,2018,Proýektorlar
15,TOHU,56.0,2018,Proýektorlar
16,TDMI,5.0,2018,Proýektorlar
17,TMK,2.0,2018,Proýektorlar
18,TDÇA,0.0,2018,Proýektorlar
19,SSTDMI,8.0,2018,Proýektorlar
20,TDEI,50.0,2018,Proýektorlar
21,TOHI,23.0,2018,Proýektorlar
1,TDU,0.0,2018,Interaktiw işjeň paneller
2,HYÖU,0.0,2018,Interaktiw işjeň paneller
3,HNGU,0.0,2018,Interaktiw işjeň paneller
4,TDBGI,0.0,2018,Interaktiw işjeň paneller
5,TDLU,0.0,2018,Interaktiw işjeň paneller
6,TDBSI,0.0,2018,Interaktiw işjeň paneller
7,HGI,0.0,2018,Interaktiw işjeň paneller
8,TDMaI,0.0,2018,Interaktiw işjeň paneller
9,TDYDI,0.0,2018,Interaktiw işjeň paneller
10,TTweII,0.0,2018,Interaktiw işjeň paneller
11,TMDDI,0.0,2018,Interaktiw işjeň paneller
12,TITU,0.0,2018,Interaktiw işjeň paneller
13,TITUKI,74.0,2018,Interaktiw işjeň paneller
14,HAA,0.0,2018,Interaktiw işjeň paneller
15,TOHU,0.0,2018,Interaktiw işjeň paneller
16,TDMI,0.0,2018,Interaktiw işjeň paneller
17,TMK,1.0,2018,Interaktiw işjeň paneller
18,TDÇA,0.0,2018,Interaktiw işjeň paneller
19,SSTDMI,8.0,2018,Interaktiw işjeň paneller
20,TDEI,1.0,2018,Interaktiw işjeň paneller
21,TOHI,0.0,2018,Interaktiw işjeň paneller
1,TDU,0.0,2018,VR enjamlar
2,HYÖU,0.0,2018,VR enjamlar
3,HNGU,0.0,2018,VR enjamlar
4,TDBGI,0.0,2018,VR enjamlar
5,TDLU,0.0,2018,VR enjamlar
6,TDBSI,0.0,2018,VR enjamlar
7,HGI,0.0,2018,VR enjamlar
8,TDMaI,0.0,2018,VR enjamlar
9,TDYDI,0.0,2018,VR enjamlar
10,TTweII,0.0,2018,VR enjamlar
11,TMDDI,0.0,2018,VR enjamlar
12,TITU,0.0,2018,VR enjamlar
13,TITUKI,0.0,2018,VR enjamlar
14,HAA,0.0,2018,VR enjamlar
15,TOHU,0.0,2018,VR enjamlar
16,TDMI,0.0,2018,VR enjamlar
17,TMK,0.0,2018,VR enjamlar
18,TDÇA,0.0,2018,VR enjamlar
19,SSTDMI,0.0,2018,VR enjamlar
20,TDEI,0.0,2018,VR enjamlar
21,TOHI,0.0,2018,VR enjamlar
1,TDU,0.0,2018,AR enjamlar
2,HYÖU,0.0,2018,AR enjamlar
3,HNGU,0.0,2018,AR enjamlar
4,TDBGI,0.0,2018,AR enjamlar
5,TDLU,0.0,2018,AR enjamlar
6,TDBSI,0.0,2018,AR enjamlar
7,HGI,0.0,2018,AR enjamlar
8,TDMaI,0.0,2018,AR enjamlar
9,TDYDI,0.0,2018,AR enjamlar
10,TTweII,3.0,2018,AR enjamlar
11,TMDDI,0.0,2018,AR enjamlar
12,TITU,0.0,2018,AR enjamlar
13,TITUKI,0.0,2018,AR enjamlar
14,HAA,0.0,2018,AR enjamlar
15,TOHU,0.0,2018,AR enjamlar
16,TDMI,0.0,2018,AR enjamlar
17,TMK,0.0,2018,AR enjamlar
18,TDÇA,0.0,2018,AR enjamlar
19,SSTDMI,0.0,2018,AR enjamlar
20,TDEI,0.0,2018,AR enjamlar
21,TOHI,0.0,2018,AR enjamlar
1,TDU,1498.0,2019,Jemi
2,HYÖU,1671.0,2019,Jemi
3,HNGU,1341.0,2019,Jemi
4,TDBGI,419.0,2019,Jemi
5,TDLU,364.0,2019,Jemi
6,TDBSI,354.0,2019,Jemi
7,HGI,624.0,2019,Jemi
8,TDMaI,236.0,2019,Jemi
9,TDYDI,770.0,2019,Jemi
10,TTweII,439.0,2019,Jemi
11,TMDDI,264.0,2019,Jemi
12,TITU,346.0,2019,Jemi
13,TITUKI,1054.0,2019,Jemi
14,HAA,0.0,2019,Jemi
15,TOHU,455.0,2019,Jemi
16,TDMI,403.0,2019,Jemi
17,TMK,113.0,2019,Jemi
18,TDÇA,90.0,2019,Jemi
19,SSTDMI,267.0,2019,Jemi
20,TDEI,406.0,2019,Jemi
21,TOHI,320.0,2019,Jemi
1,TDU,1356.0,2019,Kompýuter tehnikalar
2,HYÖU,1599.0,2019,Kompýuter tehnikalar
3,HNGU,1200.0,2019,Kompýuter tehnikalar
4,TDBGI,344.0,2019,Kompýuter tehnikalar
5,TDLU,322.0,2019,Kompýuter tehnikalar
6,TDBSI,327.0,2019,Kompýuter tehnikalar
7,HGI,586.0,2019,Kompýuter tehnikalar
8,TDMaI,204.0,2019,Kompýuter tehnikalar
9,TDYDI,680.0,2019,Kompýuter tehnikalar
10,TTweII,394.0,2019,Kompýuter tehnikalar
11,TMDDI,207.0,2019,Kompýuter tehnikalar
12,TITU,213.0,2019,Kompýuter tehnikalar
13,TITUKI,832.0,2019,Kompýuter tehnikalar
14,HAA,0.0,2019,Kompýuter tehnikalar
15,TOHU,377.0,2019,Kompýuter tehnikalar
16,TDMI,391.0,2019,Kompýuter tehnikalar
17,TMK,108.0,2019,Kompýuter tehnikalar
18,TDÇA,88.0,2019,Kompýuter tehnikalar
19,SSTDMI,238.0,2019,Kompýuter tehnikalar
20,TDEI,340.0,2019,Kompýuter tehnikalar
21,TOHI,270.0,2019,Kompýuter tehnikalar
1,TDU,36.0,2019,Interaktiw tagtalar
2,HYÖU,11.0,2019,Interaktiw tagtalar
3,HNGU,37.0,2019,Interaktiw tagtalar
4,TDBGI,35.0,2019,Interaktiw tagtalar
5,TDLU,19.0,2019,Interaktiw tagtalar
6,TDBSI,19.0,2019,Interaktiw tagtalar
7,HGI,19.0,2019,Interaktiw tagtalar
8,TDMaI,11.0,2019,Interaktiw tagtalar
9,TDYDI,45.0,2019,Interaktiw tagtalar
10,TTweII,20.0,2019,Interaktiw tagtalar
11,TMDDI,19.0,2019,Interaktiw tagtalar
12,TITU,67.0,2019,Interaktiw tagtalar
13,TITUKI,74.0,2019,Interaktiw tagtalar
14,HAA,0.0,2019,Interaktiw tagtalar
15,TOHU,21.0,2019,Interaktiw tagtalar
16,TDMI,7.0,2019,Interaktiw tagtalar
17,TMK,2.0,2019,Interaktiw tagtalar
